bayer_GRBG,$41.54 \pm 2.77$,$0.992 \pm 0.003$
bayer_RGGB,$41.55 \pm 2.79$,$0.992 \pm 0.003$
binning,$24.37 \pm 3.09$,$0.733 \pm 0.132$
chakrabarti,$39.50 \pm 2.85$,$0.990 \pm 0.004$
gindele,$41.40 \pm 2.81$,$0.992 \pm 0.003$
hamilton,$41.65 \pm 2.85$,$0.992 \pm 0.003$
honda,$40.85 \pm 2.93$,$0.992 \pm 0.003$
kaizu,$40.78 \pm 3.05$,$0.992 \pm 0.003$
kodak,$41.36 \pm 2.98$,$0.992 \pm 0.003$
lukac,$36.86 \pm 1.73$,$0.972 \pm 0.012$
luo,$29.40 \pm 2.26$,$0.911 \pm 0.048$
quad_bayer,$38.61 \pm 2.82$,$0.986 \pm 0.005$
sony,$40.76 \pm 2.89$,$0.992 \pm 0.003$
sparse_3,$38.80 \pm 2.75$,$0.989 \pm 0.004$
wang,$41.19 \pm 2.87$,$0.992 \pm 0.003$
xtrans,$35.43 \pm 1.81$,$0.959 \pm 0.021$
yamagami,$40.28 \pm 2.79$,$0.991 \pm 0.004$
yamanaka,$41.06 \pm 2.96$,$0.991 \pm 0.003$
